scale,dim,symptom_index,importance
short,0,2191,0.0
short,1,2192,0.0
short,2,2193,0.004340223036706448
short,3,2194,0.0009867885382845998
short,4,2195,0.0
short,5,2196,0.0
short,6,2197,0.0
short,7,2198,0.0
short,8,2199,0.0
short,9,2200,0.0
short,10,2201,0.0
short,11,2202,0.0
short,12,2203,0.0
short,13,2204,0.0
short,14,2205,0.004318814724683762
short,15,2206,0.0
short,16,2207,0.0
short,17,2208,0.0
short,18,2209,0.0
short,19,2210,0.0005759072373621166
short,20,2211,0.0
medium,0,2212,0.0
medium,1,2213,0.0
medium,2,2214,0.0
medium,3,2215,0.0
medium,4,2216,0.0
medium,5,2217,0.00038414119626395404
medium,6,2218,0.0
medium,7,2219,0.0
medium,8,2220,0.0
medium,9,2221,0.0
medium,10,2222,0.0
medium,11,2223,0.0
medium,12,2224,0.0
medium,13,2225,0.0
medium,14,2226,0.0007423284696415067
medium,15,2227,0.0056840828619897366
medium,16,2228,0.006768820807337761
medium,17,2229,0.0
medium,18,2230,0.0
medium,19,2231,0.0
medium,20,2232,0.0007014558650553226
long,0,2233,0.0
long,1,2234,0.0
long,2,2235,0.0
long,3,2236,0.0
long,4,2237,0.0
long,5,2238,0.00011612515663728118
long,6,2239,0.0
long,7,2240,0.000251841323915869
long,8,2241,0.0
long,9,2242,0.0
long,10,2243,0.0
long,11,2244,0.0
long,12,2245,0.0
long,13,2246,0.0
long,14,2247,0.0
long,15,2248,0.0
long,16,2249,0.0
long,17,2250,0.0
long,18,2251,0.0
long,19,2252,0.0
long,20,2253,0.0
